,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
3100,1,2015-06-02 11:27:10,2015-06-02 11:44:59,1,6.4,-73.87295532226561,40.774173736572266,1,N,-73.94725036621092,40.7279052734375,1,19.5,0.0,0.5,4.05,0.0,0.3,24.35
3101,2,2015-06-02 11:27:10,2015-06-02 12:03:04,1,8.22,-73.87493896484375,40.77403259277344,1,N,-73.97381591796875,40.752151489257805,1,31.5,0.0,0.5,9.46,5.54,0.3,47.3
3102,2,2015-06-02 11:27:11,2015-06-02 12:20:19,1,13.21,-73.8636016845703,40.76995086669922,1,N,-74.01107788085938,40.71050643920898,1,47.5,0.0,0.5,10.77,5.54,0.3,64.61
3103,2,2015-06-02 11:27:11,2015-06-02 11:44:52,5,4.43,-73.86344909667967,40.76974868774414,1,N,-73.91943359375,40.7591552734375,1,17.0,0.0,0.5,3.56,0.0,0.3,21.36
3104,1,2015-06-02 11:27:12,2015-06-02 11:43:57,1,2.3,-73.98563385009764,40.72780990600586,1,N,-73.9677505493164,40.755313873291016,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3
3105,2,2015-06-02 11:27:12,2015-06-02 11:39:48,1,1.06,-73.98632049560547,40.74604034423828,1,N,-73.97582244873048,40.755821228027344,1,9.0,0.0,0.5,1.0,0.0,0.3,10.8
3106,2,2015-06-02 11:27:13,2015-06-02 11:32:49,5,0.73,-73.9842529296875,40.73682022094727,1,N,-73.98721313476561,40.72842025756836,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
3107,2,2015-06-02 11:27:14,2015-06-02 11:48:50,4,2.3,-73.9474105834961,40.775508880615234,1,N,-73.97322845458984,40.75864028930664,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3
3108,1,2015-06-02 11:27:15,2015-06-02 12:02:15,1,9.3,-73.96356201171875,40.764408111572266,1,N,-73.83464813232422,40.70412063598633,2,31.5,0.0,0.5,0.0,0.0,0.3,32.3
3109,1,2015-06-02 11:27:16,2015-06-02 11:57:36,1,1.5,-73.97632598876953,40.748092651367195,1,N,-73.9793701171875,40.76324462890625,1,18.0,0.0,0.5,3.75,0.0,0.3,22.55
